IND_ID;JAAR;VERVOERSWIJZE_ID;PROCENT
261;32;6;2.97
240;31;5;67.31
241;31;6;3.33
242;31;9;6.98
243;31;8;0.73
244;31;7;2.99
245;31;10;1.61
246;31;3;1.47
247;31;4;0.61
248;31;2;11.95
249;31;1;2.69
250;31;13;0.34
260;32;5;69.45
262;32;9;6.87
263;32;7;2.66
264;32;10;1.46
265;32;3;1.21
266;32;4;0.69
267;32;2;10.83
268;32;1;3.86
41;29;5;66.77
42;29;6;3.65
43;29;4;0.74
44;29;3;1.08
45;29;9;7.12
46;29;7;2.94
47;29;8;1.03
48;29;10;0.85
49;29;2;12.52
50;29;1;3.3
51;30;5;67.84
52;30;6;2.89
53;30;4;0.93
54;30;3;0.73
55;30;9;6.98
56;30;7;4.26
57;30;8;0.96
58;30;10;1.03
59;30;2;12
60;30;1;2.37
